scenario,replicate,turtle_id,step,time_s,x_m,y_m,outcome
baseline,0,0,16,80.0,7.0,399.0,active
baseline,0,1,16,80.0,14.5,97.0,active
baseline,0,2,16,80.0,11.5,97.0,active
baseline,0,3,16,80.0,13.5,596.0,active
baseline,0,4,16,80.0,14.5,0.5,active
baseline,0,5,16,80.0,14.5,101.0,active
baseline,0,6,16,80.0,11.5,792.5,active
baseline,0,7,16,80.0,14.5,596.5,active
baseline,0,8,16,80.0,11.5,192.0,active
baseline,0,9,16,80.0,5.5,395.0,active
baseline,0,10,16,80.0,15.5,194.5,active
baseline,0,11,16,80.0,15.0,695.5,active
baseline,0,12,16,80.0,4.0,395.5,active
baseline,0,13,16,80.0,15.5,98.0,active
baseline,0,14,16,80.0,8.0,398.5,active
baseline,0,15,16,80.0,12.0,93.5,active
baseline,0,16,16,80.0,14.5,602.0,active
baseline,0,17,16,80.0,14.5,98.0,active
baseline,0,18,16,80.0,12.5,194.5,active
baseline,0,19,16,80.0,14.5,697.0,active
baseline,0,20,16,80.0,9.5,394.0,active
baseline,0,21,16,80.0,16.0,196.5,active
baseline,0,22,16,80.0,15.0,0.5,active
baseline,0,23,16,80.0,15.0,798.0,active
baseline,0,24,16,80.0,13.5,502.0,active
baseline,0,25,16,80.0,17.0,794.0,active
baseline,0,26,16,80.0,12.5,94.5,active
baseline,0,27,16,80.0,14.5,96.0,active
baseline,0,28,16,80.0,16.0,595.5,active
baseline,0,29,16,80.0,12.0,193.5,active
baseline,0,0,17,85.0,7.0,398.5,active
baseline,0,1,17,85.0,15.0,96.5,active
baseline,0,2,17,85.0,12.0,97.5,active
baseline,0,3,17,85.0,14.0,596.0,active
baseline,0,4,17,85.0,15.0,0.0,active
baseline,0,5,17,85.0,15.0,101.5,active
baseline,0,6,17,85.0,12.0,792.0,active
baseline,0,7,17,85.0,15.0,596.5,active
baseline,0,8,17,85.0,12.0,191.5,active
baseline,0,9,17,85.0,5.5,394.5,active
baseline,0,10,17,85.0,16.0,194.0,active
baseline,0,11,17,85.0,15.0,695.0,active
baseline,0,12,17,85.0,3.5,395.0,active
baseline,0,13,17,85.0,16.0,97.5,active
baseline,0,14,17,85.0,8.0,398.0,active
baseline,0,15,17,85.0,12.5,93.0,active
baseline,0,16,17,85.0,15.0,601.5,active
baseline,0,17,17,85.0,14.0,98.0,active
baseline,0,18,17,85.0,12.5,194.0,active
baseline,0,19,17,85.0,15.0,697.0,active
baseline,0,20,17,85.0,9.0,394.0,active
baseline,0,21,17,85.0,16.5,196.0,active
